"iteration","value","iteration_num","metric","tweedie_variance_power","hyper_param_label"
"Test Set 4",23144.195,4,"residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 4",2268.1758,4,"rmse",1.85,"tweedie_variance_power 1.85"
"Test Set 4",0.6518467,4,"rmsle",1.85,"tweedie_variance_power 1.85"
"Test Set 5",1394.2958,5,"mae",1.85,"tweedie_variance_power 1.85"
"Test Set 5",1.2286396,5,"mean_residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 5",4791503,5,"mse",1.85,"tweedie_variance_power 1.85"
"Test Set 5",41296.258,5,"null_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 5",0.3896758,5,"r2",1.85,"tweedie_variance_power 1.85"
"Test Set 5",23362.584,5,"residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 5",2188.9502,5,"rmse",1.85,"tweedie_variance_power 1.85"
"Test Set 5",0.6551601,5,"rmsle",1.85,"tweedie_variance_power 1.85"
"Test Set 6",1427.6461,6,"mae",1.85,"tweedie_variance_power 1.85"
"Test Set 6",1.2302378,6,"mean_residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 6",5607995,6,"mse",1.85,"tweedie_variance_power 1.85"
"Test Set 6",41459.996,6,"null_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 6",0.36729094,6,"r2",1.85,"tweedie_variance_power 1.85"
"Test Set 6",23066.96,6,"residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 6",2368.1206,6,"rmse",1.85,"tweedie_variance_power 1.85"
"Test Set 6",0.64523536,6,"rmsle",1.85,"tweedie_variance_power 1.85"
"Test Set 7",1372.5792,7,"mae",1.85,"tweedie_variance_power 1.85"
"Test Set 7",1.1847981,7,"mean_residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 7",4811353,7,"mse",1.85,"tweedie_variance_power 1.85"
"Test Set 7",40085.832,7,"null_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 7",0.38329834,7,"r2",1.85,"tweedie_variance_power 1.85"
"Test Set 7",22477.99,7,"residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 7",2193.4797,7,"rmse",1.85,"tweedie_variance_power 1.85"
"Test Set 7",0.6388836,7,"rmsle",1.85,"tweedie_variance_power 1.85"
"Test Set 8",1424.1322,8,"mae",1.85,"tweedie_variance_power 1.85"
"Test Set 8",1.244692,8,"mean_residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 8",5263556.5,8,"mse",1.85,"tweedie_variance_power 1.85"
"Test Set 8",41443.668,8,"null_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 8",0.37554386,8,"r2",1.85,"tweedie_variance_power 1.85"
"Test Set 8",23436.305,8,"residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 8",2294.2441,8,"rmse",1.85,"tweedie_variance_power 1.85"
"Test Set 8",0.65501136,8,"rmsle",1.85,"tweedie_variance_power 1.85"
"Test Set 9",1443.2809,9,"mae",1.85,"tweedie_variance_power 1.85"
"Test Set 9",1.2687513,9,"mean_residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 9",7144207.5,9,"mse",1.85,"tweedie_variance_power 1.85"
"Test Set 9",42148.35,9,"null_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 9",0.3171681,9,"r2",1.85,"tweedie_variance_power 1.85"
"Test Set 9",23724.379,9,"residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 9",2672.865,9,"rmse",1.85,"tweedie_variance_power 1.85"
"Test Set 9",0.6609773,9,"rmsle",1.85,"tweedie_variance_power 1.85"
"Test Set 10",1401.9851,10,"mae",1.85,"tweedie_variance_power 1.85"
"Test Set 10",1.2167773,10,"mean_residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 10",5299956,10,"mse",1.85,"tweedie_variance_power 1.85"
"Test Set 10",41795.832,10,"null_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 10",0.3825247,10,"r2",1.85,"tweedie_variance_power 1.85"
"Test Set 10",23071.314,10,"residual_deviance",1.85,"tweedie_variance_power 1.85"
"Test Set 10",2302.1633,10,"rmse",1.85,"tweedie_variance_power 1.85"
"Test Set 10",0.64978015,10,"rmsle",1.85,"tweedie_variance_power 1.85"
"Test Set 1",1390.4188,1,"mae",1.8,"tweedie_variance_power 1.8"
"Test Set 1",1.760084,1,"mean_residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 1",4979037.5,1,"mse",1.8,"tweedie_variance_power 1.8"
"Test Set 1",60799.5,1,"null_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 1",0.4021203,1,"r2",1.8,"tweedie_variance_power 1.8"
"Test Set 1",33027.977,1,"residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 1",2231.3757,1,"rmse",1.8,"tweedie_variance_power 1.8"
"Test Set 1",0.63944966,1,"rmsle",1.8,"tweedie_variance_power 1.8"
"Test Set 2",1406.9741,2,"mae",1.8,"tweedie_variance_power 1.8"
"Test Set 2",1.7856244,2,"mean_residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 2",5191346.5,2,"mse",1.8,"tweedie_variance_power 1.8"
"Test Set 2",60608.176,2,"null_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 2",0.39347887,2,"r2",1.8,"tweedie_variance_power 1.8"
"Test Set 2",33119.76,2,"residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 2",2278.4526,2,"rmse",1.8,"tweedie_variance_power 1.8"
"Test Set 2",0.64589584,2,"rmsle",1.8,"tweedie_variance_power 1.8"
"Test Set 3",1386.9471,3,"mae",1.8,"tweedie_variance_power 1.8"
"Test Set 3",1.762275,3,"mean_residual_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 3",4933478,3,"mse",1.8,"tweedie_variance_power 1.8"
"Test Set 3",60871.957,3,"null_deviance",1.8,"tweedie_variance_power 1.8"
"Test Set 3",0.39949435,3,"r2",1.8,"tweedie_variance_power 1.8"
